Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Algeria,207764,5971,142566.0,59227.0,4624,133,230861.0,5138.0,44929082
Angola,64875,1726,61510.0,1639.0,1894,50,1143072.0,33369.0,34255694
Benin,24833,161,24546.0,126.0,1978,13,604310.0,48133.0,12555033
Botswana,193701,2411,190577.0,713.0,80166,998,1838690.0,760968.0,2416252
Burkina Faso,15281,234,14833.0,214.0,705,11,226312.0,10437.0,21682639
Burundi,20210,38,773.0,19399.0,1634,3,345742.0,27945.0,12372159
Cabo Verde,38293,350,37846.0,97.0,67869,620,211166.0,374264.0,564216
Cameroon,106190,1770,102716.0,1704.0,3869,64,1751774.0,63829.0,27444652
CAR,11666,101,6859.0,4706.0,2360,20,60228.0,12182.0,4944102
Chad,5105,175,4874.0,56.0,299,10,148082.0,8677.0,17066636
Comoros,4363,149,4139.0,75.0,4876,167,,,894809
Congo,18153,309,12421.0,5423.0,3183,54,188207.0,33002.0,5702836
Djibouti,13494,186,13282.0,26.0,13393,185,240846.0,239037.0,1007569
DRC,57729,1099,50930.0,5700.0,619,12,306299.0,3284.0,93262179
Egypt,342097,19366,286348.0,36383.0,3259,185,3693367.0,35188.0,104961868
Equatorial Guinea,13485,168,13110.0,207.0,9201,115,242340.0,165351.0,1465612
Eritrea,7039,48,6836.0,155.0,1948,13,23693.0,6557.0,3613281
Eswatini,46466,1245,45203.0,18.0,39494,1058,378475.0,321686.0,1176534
Ethiopia,368346,6601,344113.0,17632.0,3100,56,3767231.0,31701.0,118836981
Gabon,36587,262,29785.0,6540.0,15927,114,1359753.0,591922.0,2297181
Gambia,9980,341,9624.0,15.0,3978,136,120595.0,48065.0,2508975
Ghana,130649,1206,128331.0,1112.0,4088,38,1916587.0,59976.0,31955655
Guinea,30715,387,29650.0,678.0,2256,28,567389.0,41667.0,13617173
Guinea-Bissau,6301,143,5945.0,213.0,3102,70,104848.0,51617.0,2031279
Ivory Coast,61486,700,60260.0,526.0,2255,26,1109103.0,40676.0,27266761
Kenya,254215,5316,247574.0,1325.0,4590,96,2761828.0,49868.0,55382966
Lesotho,21688,660,13083.0,7945.0,10016,305,248099.0,114574.0,2165398
Liberia,5817,287,5458.0,72.0,1114,55,128246.0,24571.0,5219402
Libya,364076,5275,314829.0,43972.0,52021,754,1840509.0,262983.0,6998574
Madagascar,43672,964,41322.0,1386.0,1524,34,249510.0,8706.0,28659191
Malawi,61841,2302,58574.0,965.0,3123,116,431868.0,21809.0,19802234
Mali,16605,584,14817.0,1204.0,789,28,468000.0,22239.0,21043781
Mauritania,38001,806,36482.0,713.0,7891,167,489025.0,101545.0,4815863
Mauritius,18979,240,1854.0,16885.0,14890,188,358675.0,281392.0,1274646
Morocco,948025,14737,929775.0,3513.0,25276,393,10239800.0,273013.0,37506650
Mozambique,151414,1934,149350.0,130.0,4667,60,956433.0,29478.0,32445996
Namibia,129038,3564,125299.0,175.0,49562,1369,764596.0,293674.0,2603552
Niger,6650,231,6199.0,220.0,262,9,177556.0,6991.0,25396674
Nigeria,213076,2949,205483.0,4644.0,1000,14,3392457.0,15920.0,213089105
Rwanda,100082,1336,45518.0,53228.0,7475,100,3260664.0,243534.0,13388936
Sao Tome and Principe,3730,56,3650.0,24.0,16600,249,14689.0,65372.0,224699
Senegal,73948,1881,72056.0,11.0,4264,108,854408.0,49263.0,17343972
Seychelles,22633,122,22191.0,320.0,228208,1230,21504.0,216824.0,99177
Sierra Leone,6396,121,4393.0,1882.0,780,15,160729.0,19606.0,8197766
Somalia,22837,1313,11189.0,10335.0,1384,80,262138.0,15891.0,16496088
South Africa,2925371,89469,2819307.0,16595.0,48492,1483,18865934.0,312726.0,60327438
South Sudan,12558,133,12169.0,256.0,1104,12,256318.0,22538.0,11372538
Sudan,40238,3099,32905.0,4234.0,889,68,238579.0,5273.0,45242116
Tanzania,26196,725,,,422,12,,,62047341
Togo,26133,243,25806.0,84.0,3059,28,560008.0,65554.0,8542692
Tunisia,715571,25306,689314.0,951.0,59695,2111,3116009.0,259946.0,11987142
Uganda,126833,3236,96978.0,26619.0,2659,68,1865329.0,39102.0,47704063
Zambia,209963,3664,206142.0,157.0,11002,192,2651728.0,138951.0,19083956
Zimbabwe,133329,4694,128231.0,404.0,8796,310,1538881.0,101525.0,15157622
